venue,cc4,amount,ts
Brew've Been Served,4948,3.14,2014-01-15 07:58
Brew've Been Served,8411,5.75,2014-01-15 07:58
Brew've Been Served,3484,14.06,2014-01-15 07:58
Hallowed Grounds,3492,14.33,2014-01-15 07:59
Brew've Been Served,5368,8.42,2014-01-15 08:00
Hallowed Grounds,1310,15.27,2014-01-15 08:00
Brew've Been Served,4434,49.7,2014-01-15 08:01
Brew've Been Served,3853,15.58,2014-01-15 08:02
Coffee Cameleon,2418,56.31,2014-01-15 08:05
Brew've Been Served,5407,12.39,2014-01-15 08:05
Brew've Been Served,8202,3.47,2014-01-15 08:06
Hallowed Grounds,2681,14.39,2014-01-15 08:13
Brew've Been Served,6901,18.58,2014-01-15 08:14
Carlyle Chemical Inc.,7792,3608.08,2014-01-15 09:34
Nationwide Refinery,9152,1903.77,2014-01-15 10:00
Nationwide Refinery,9735,1391.24,2014-01-15 10:14
Stewart and Sons Fabrication,9152,4545.38,2014-01-15 11:18
Stewart and Sons Fabrication,9735,4740.68,2014-01-15 11:44
Nationwide Refinery,7792,3004.98,2014-01-15 11:55
Bean There Done That,9635,5.34,2014-01-15 12:00
Jack's Magical Beans,6899,11.15,2014-01-15 12:00
Brewed Awakenings,2540,91.62,2014-01-15 12:00
Bean There Done That,1877,93.13,2014-01-15 12:00
Brewed Awakenings,8332,3.62,2014-01-15 12:00
Bean There Done That,1321,18.96,2014-01-15 12:00
Bean There Done That,6895,15.24,2014-01-15 12:00
Jack's Magical Beans,9241,5.3,2014-01-15 12:00
Jack's Magical Beans,8156,84.06,2014-01-15 12:00
Jack's Magical Beans,2463,19.54,2014-01-15 12:00
Abila Airport,8642,3152.41,2014-01-15 12:25
Kalami Kafenion,8156,22.39,2014-01-15 13:08
Ouzeri Elian,7253,8.93,2014-01-15 13:10
Hippokampos,8332,36.7,2014-01-15 13:12
Hippokampos,9683,118.89,2014-01-15 13:12
Katerina's Cafe,7792,24.15,2014-01-15 13:13
Katerina's Cafe,2418,88.56,2014-01-15 13:17
Guy's Gyros,1415,14.37,2014-01-15 13:22
Abila Zacharo,7889,31,2014-01-15 13:22
Ouzeri Elian,3484,12.9,2014-01-15 13:22
Hippokampos,6899,13,2014-01-15 13:24
Abila Zacharo,7688,23.51,2014-01-15 13:26
Katerina's Cafe,1286,55.6,2014-01-15 13:27
Ouzeri Elian,1321,36.47,2014-01-15 13:31
Kalami Kafenion,1874,26.17,2014-01-15 13:35
Kalami Kafenion,8411,37.15,2014-01-15 13:36
Kalami Kafenion,5407,38.5,2014-01-15 13:37
Hippokampos,9405,8.75,2014-01-15 13:39
Gelatogalore,2463,9.61,2014-01-15 13:39
Ouzeri Elian,5368,25.7,2014-01-15 13:40
Hippokampos,2540,82.61,2014-01-15 13:41
Guy's Gyros,7354,49.34,2014-01-15 13:41
Hippokampos,1877,32.4,2014-01-15 13:42
Ouzeri Elian,7108,22.86,2014-01-15 13:42
Guy's Gyros,2142,15.89,2014-01-15 13:44
Abila Zacharo,9635,88.83,2014-01-15 13:45
Kalami Kafenion,6895,47.86,2014-01-15 13:45
Guy's Gyros,6691,12.19,2014-01-15 13:45
Gelatogalore,7117,24.96,2014-01-15 13:46
Guy's Gyros,8202,16.58,2014-01-15 13:46
Abila Zacharo,7384,20.44,2014-01-15 13:47
Ouzeri Elian,8129,26.61,2014-01-15 13:51
Gelatogalore,3853,31.21,2014-01-15 13:55
Gelatogalore,7819,39.4,2014-01-15 13:58
Abila Zacharo,3547,33.8,2014-01-15 13:58
Gelatogalore,2681,42.36,2014-01-15 13:59
Guy's Gyros,9617,25.58,2014-01-15 14:00
Katerina's Cafe,1310,12.12,2014-01-15 14:00
Hippokampos,4434,118.23,2014-01-15 14:02
Abila Zacharo,3492,24.53,2014-01-15 14:02
Abila Zacharo,4948,46.82,2014-01-15 14:04
Kronos Pipe and Irrigation,4530,2564,2014-01-15 14:12
Kalami Kafenion,6901,28.82,2014-01-15 14:13
Carlyle Chemical Inc.,7792,1112.04,2014-01-15 14:25
Maximum Iron and Steel,4530,4788.22,2014-01-15 15:11
Abila Airport,8642,875.87,2014-01-15 15:40
Carlyle Chemical Inc.,7792,1392.73,2014-01-15 17:01
Ouzeri Elian,9241,28.86,2014-01-15 19:18
Katerina's Cafe,3492,39.23,2014-01-15 19:50
Frydos Autosupply n' More,2540,18.91,2014-01-15 19:52
Guy's Gyros,3484,98.04,2014-01-15 19:53
Hippokampos,1415,13.02,2014-01-15 19:55
Guy's Gyros,4434,31.04,2014-01-15 19:55
General Grocer,7819,126.2,2014-01-15 19:56
Katerina's Cafe,8129,25.08,2014-01-15 19:59
Katerina's Cafe,2142,29.84,2014-01-15 20:00
Guy's Gyros,7354,28.75,2014-01-15 20:02
Frydos Autosupply n' More,9683,235.27,2014-01-15 20:04
Katerina's Cafe,9617,11.45,2014-01-15 20:05
Guy's Gyros,5368,44.91,2014-01-15 20:06
Guy's Gyros,6816,36.35,2014-01-15 20:08
Hippokampos,9635,35.12,2014-01-15 20:10
Shoppers' Delight,8332,162,2014-01-15 20:10
Hippokampos,7688,11.8,2014-01-15 20:16
Katerina's Cafe,8411,29.33,2014-01-15 20:17
Hippokampos,1321,10.35,2014-01-15 20:23
Katerina's Cafe,1310,39.63,2014-01-15 20:23
Hippokampos,1877,16.37,2014-01-15 20:24
Katerina's Cafe,8202,61.61,2014-01-15 20:26
Ouzeri Elian,6899,23.18,2014-01-15 20:29
Katerina's Cafe,2418,29.66,2014-01-15 20:29
Frydos Autosupply n' More,1874,18.66,2014-01-15 20:33
Albert's Fine Clothing,7117,228.15,2014-01-15 20:46
Frydos Autosupply n' More,4948,276.88,2014-01-15 20:57
Guy's Gyros,3853,61.43,2014-01-15 20:59
Katerina's Cafe,7253,13.77,2014-01-15 21:05
Guy's Gyros,1286,27.01,2014-01-15 21:05
Ouzeri Elian,2681,8.57,2014-01-15 21:05
Hippokampos,6895,101.14,2014-01-15 21:08
Katerina's Cafe,3547,27.48,2014-01-15 21:21
Hippokampos,8156,37.16,2014-01-15 21:42
Kronos Mart,7108,298.83,2014-01-16 07:30
Brew've Been Served,5368,25.05,2014-01-16 07:33
Brew've Been Served,7354,8.18,2014-01-16 07:34
Brew've Been Served,3484,19.9,2014-01-16 07:36
Coffee Cameleon,3547,67.19,2014-01-16 07:38
Hallowed Grounds,7889,13.84,2014-01-16 07:44
Hallowed Grounds,7108,18.2,2014-01-16 07:44
Hallowed Grounds,3492,17.74,2014-01-16 07:44
Hallowed Grounds,8129,17.92,2014-01-16 07:45
Brew've Been Served,7384,7.31,2014-01-16 07:50
Hallowed Grounds,9617,44.98,2014-01-16 07:51
Hallowed Grounds,1310,9.6,2014-01-16 07:51
Brew've Been Served,1286,12.67,2014-01-16 07:52
Brew've Been Served,4795,4.7,2014-01-16 07:53
Brew've Been Served,4948,83.84,2014-01-16 07:54
Hallowed Grounds,1874,7.22,2014-01-16 07:54
Brew've Been Served,6816,12.83,2014-01-16 07:55
Brew've Been Served,9683,4.33,2014-01-16 07:56
Brew've Been Served,3853,5.82,2014-01-16 08:02
Coffee Cameleon,2418,63.14,2014-01-16 08:03
Hallowed Grounds,9405,72.61,2014-01-16 08:03
Brew've Been Served,6901,16.67,2014-01-16 08:03
Hallowed Grounds,9551,12.19,2014-01-16 08:05
Hallowed Grounds,6691,18.23,2014-01-16 08:07
Brew've Been Served,8202,90.33,2014-01-16 08:08
Brew've Been Served,4434,17.44,2014-01-16 08:09
Hallowed Grounds,2681,4.6,2014-01-16 08:09
Brew've Been Served,7819,16.9,2014-01-16 08:19
Brew've Been Served,8411,11.21,2014-01-16 08:23
Abila Airport,3506,1676.53,2014-01-16 09:18
Carlyle Chemical Inc.,7792,419.93,2014-01-16 09:52
Nationwide Refinery,9735,1494.44,2014-01-16 10:16
Stewart and Sons Fabrication,3506,940.3,2014-01-16 11:06
Nationwide Refinery,7792,4742.67,2014-01-16 11:25
Stewart and Sons Fabrication,9735,4543.31,2014-01-16 11:45
Coffee Shack,7117,10.48,2014-01-16 12:00
Bean There Done That,1415,19.82,2014-01-16 12:00
Bean There Done That,9635,12.33,2014-01-16 12:00
Brewed Awakenings,7688,17.91,2014-01-16 12:00
Jack's Magical Beans,6899,9.12,2014-01-16 12:00
Brewed Awakenings,2540,6.53,2014-01-16 12:00
Bean There Done That,1877,5.56,2014-01-16 12:00
Brewed Awakenings,8332,6.39,2014-01-16 12:00
Bean There Done That,1321,98.34,2014-01-16 12:00
Bean There Done That,6895,17.4,2014-01-16 12:00
Jack's Magical Beans,9241,14.86,2014-01-16 12:00
Jack's Magical Beans,8156,12.56,2014-01-16 12:00
Jack's Magical Beans,2463,6.95,2014-01-16 12:00
Nationwide Refinery,3506,2047.28,2014-01-16 12:32
Abila Airport,8642,3917.3,2014-01-16 12:40
Katerina's Cafe,9683,11.08,2014-01-16 13:17
Katerina's Cafe,7688,27.82,2014-01-16 13:19
Hippokampos,8332,17.66,2014-01-16 13:19
Abila Zacharo,1286,64.71,2014-01-16 13:22
Abila Airport,2276,3138.98,2014-01-16 13:22
Hippokampos,8156,26.15,2014-01-16 13:22
Guy's Gyros,7889,31.48,2014-01-16 13:23
Katerina's Cafe,7792,34.9,2014-01-16 13:23
Hippokampos,6899,36.17,2014-01-16 13:26
Katerina's Cafe,3484,34.02,2014-01-16 13:27
Katerina's Cafe,5407,39.74,2014-01-16 13:27
Abila Zacharo,3547,31.31,2014-01-16 13:27
Guy's Gyros,9551,10.27,2014-01-16 13:28
Hippokampos,7253,16.53,2014-01-16 13:30
Hippokampos,2540,10.38,2014-01-16 13:30
Gelatogalore,2463,12.33,2014-01-16 13:33
Hippokampos,6691,13.05,2014-01-16 13:35
Hippokampos,1415,31.14,2014-01-16 13:36
Gelatogalore,9405,22.19,2014-01-16 13:37
Abila Zacharo,4795,69.27,2014-01-16 13:39
Guy's Gyros,7819,29.7,2014-01-16 13:42
Hippokampos,1321,14.89,2014-01-16 13:43
Katerina's Cafe,5368,38.32,2014-01-16 13:43
Guy's Gyros,6816,13.48,2014-01-16 13:44
Hippokampos,7354,18.18,2014-01-16 13:44
Ouzeri Elian,3853,12.47,2014-01-16 13:45
Kalami Kafenion,8202,9.27,2014-01-16 13:45
Ouzeri Elian,2142,18.27,2014-01-16 13:45
Abila Zacharo,7108,36.02,2014-01-16 13:47
Kalami Kafenion,9635,91.38,2014-01-16 13:48
Abila Zacharo,4948,24.38,2014-01-16 13:48
Gelatogalore,1874,32.4,2014-01-16 13:48
Hippokampos,9617,29.93,2014-01-16 13:48
Kalami Kafenion,3492,11.83,2014-01-16 13:48
Kalami Kafenion,7384,8.86,2014-01-16 13:49
Hippokampos,1310,8.07,2014-01-16 13:54
Hippokampos,8411,30.02,2014-01-16 13:55
Abila Zacharo,6901,8.43,2014-01-16 13:55
Ouzeri Elian,2418,8.52,2014-01-16 14:00
Ouzeri Elian,7117,8.47,2014-01-16 14:01
Guy's Gyros,1877,32.8,2014-01-16 14:05
Octavio's Office Supplies,5368,131.01,2014-01-16 15:58
Abila Scrapyard,2276,1897.05,2014-01-16 16:56
Gelatogalore,4434,10.62,2014-01-16 17:07
Carlyle Chemical Inc.,7792,1814.24,2014-01-16 17:17
Katerina's Cafe,8411,93.68,2014-01-16 18:49
Guy's Gyros,7384,25.57,2014-01-16 19:04
Guy's Gyros,3484,8.31,2014-01-16 19:09
Katerina's Cafe,7889,10.93,2014-01-16 19:39
Guy's Gyros,4795,37.8,2014-01-16 19:40
Frydos Autosupply n' More,1874,53.37,2014-01-16 19:45
Katerina's Cafe,3547,34.34,2014-01-16 19:47
Katerina's Cafe,5407,69.3,2014-01-16 20:05
Albert's Fine Clothing,7117,283.38,2014-01-16 20:08
Katerina's Cafe,8129,18.79,2014-01-16 20:09
Guy's Gyros,6901,28.27,2014-01-16 20:09
Hippokampos,1321,29.13,2014-01-16 20:13
Guy's Gyros,9683,111.31,2014-01-16 20:14
Guy's Gyros,3853,25.78,2014-01-16 20:17
Guy's Gyros,6816,30.76,2014-01-16 20:17
Katerina's Cafe,9617,13.91,2014-01-16 20:23
Ouzeri Elian,6899,23.89,2014-01-16 20:25
Albert's Fine Clothing,7819,91.71,2014-01-16 20:25
Katerina's Cafe,2418,35.43,2014-01-16 20:25
Roberts and Sons,4434,155.76,2014-01-16 20:25
Ouzeri Elian,2681,22.65,2014-01-16 20:25
Ouzeri Elian,9551,9.91,2014-01-16 20:28
Katerina's Cafe,9405,30.84,2014-01-16 20:28
Guy's Gyros,7108,11.31,2014-01-16 20:35
Katerina's Cafe,2142,19.44,2014-01-16 20:36
Katerina's Cafe,8202,30.56,2014-01-16 20:39
Hippokampos,6895,114,2014-01-16 20:42
Hippokampos,2463,27.74,2014-01-16 20:43
Shoppers' Delight,1877,160.69,2014-01-16 20:45
Shoppers' Delight,1286,16.84,2014-01-16 20:50
Katerina's Cafe,3492,34.58,2014-01-16 20:51
Roberts and Sons,7354,240.66,2014-01-16 20:52
Frydos Autosupply n' More,4948,130.01,2014-01-16 20:54
Hippokampos,8332,12.47,2014-01-16 20:58
Hippokampos,7688,20.84,2014-01-16 21:13
Ouzeri Elian,9241,29.99,2014-01-16 21:16
Brew've Been Served,7384,52.56,2014-01-17 07:29
Hallowed Grounds,1310,3.25,2014-01-17 07:31
Hallowed Grounds,7889,14.58,2014-01-17 07:33
Brew've Been Served,5368,11.69,2014-01-17 07:36
Coffee Cameleon,3547,10.27,2014-01-17 07:38
Hallowed Grounds,9617,15.98,2014-01-17 07:39
Hallowed Grounds,8129,10.52,2014-01-17 07:41
Brew've Been Served,4948,8.07,2014-01-17 07:50
Coffee Cameleon,7253,6.81,2014-01-17 07:51
Hallowed Grounds,1874,18.6,2014-01-17 07:52
Coffee Cameleon,6816,9.16,2014-01-17 07:52
Hallowed Grounds,5010,9.72,2014-01-17 07:56
Brew've Been Served,7354,10.52,2014-01-17 07:57
Hallowed Grounds,6691,5.52,2014-01-17 07:59
Brew've Been Served,4795,19.39,2014-01-17 07:59
Brew've Been Served,3484,13.66,2014-01-17 08:03
Hallowed Grounds,3492,38.22,2014-01-17 08:03
Hallowed Grounds,9551,9.4,2014-01-17 08:04
Brew've Been Served,9405,16.62,2014-01-17 08:04
Coffee Cameleon,2418,7.49,2014-01-17 08:07
Kronos Mart,1415,286.24,2014-01-17 08:08
Brew've Been Served,8202,9.3,2014-01-17 08:09
Brew've Been Served,5407,18.15,2014-01-17 08:12
Hallowed Grounds,2681,6.39,2014-01-17 08:12
Coffee Cameleon,4434,14.99,2014-01-17 08:13
Brew've Been Served,3853,3.09,2014-01-17 08:15
Brew've Been Served,6901,5.29,2014-01-17 08:17
Brew've Been Served,8411,14.58,2014-01-17 08:19
Brew've Been Served,7819,15.46,2014-01-17 08:22
Brew've Been Served,1286,51.04,2014-01-17 08:23
Stewart and Sons Fabrication,9735,1753.17,2014-01-17 11:32
Coffee Shack,7117,19.16,2014-01-17 12:00
Bean There Done That,1415,19.67,2014-01-17 12:00
Bean There Done That,9635,8.21,2014-01-17 12:00
Brewed Awakenings,7688,8.16,2014-01-17 12:00
Jack's Magical Beans,6899,7.57,2014-01-17 12:00
Brewed Awakenings,2540,88.69,2014-01-17 12:00
Bean There Done That,1877,19.56,2014-01-17 12:00
Brewed Awakenings,8332,6,2014-01-17 12:00
Bean There Done That,1321,18.72,2014-01-17 12:00
Bean There Done That,6895,5.77,2014-01-17 12:00
Jack's Magical Beans,9241,19.11,2014-01-17 12:00
Abila Zacharo,8332,68.78,2014-01-17 13:11
Kalami Kafenion,7253,140.78,2014-01-17 13:16
Hippokampos,2418,38.21,2014-01-17 13:16
Gelatogalore,8156,15.84,2014-01-17 13:17
Guy's Gyros,7688,8.64,2014-01-17 13:18
Guy's Gyros,3484,22.18,2014-01-17 13:21
Hippokampos,4795,14.57,2014-01-17 13:27
Abila Zacharo,5010,15.95,2014-01-17 13:28
Hippokampos,6816,15.77,2014-01-17 13:31
Gelatogalore,9635,23.23,2014-01-17 13:33
Kalami Kafenion,2463,105.32,2014-01-17 13:37
Ouzeri Elian,1415,14.01,2014-01-17 13:38
Guy's Gyros,3853,39.14,2014-01-17 13:38
Hippokampos,1286,52.31,2014-01-17 13:38
Kalami Kafenion,5407,39.43,2014-01-17 13:38
Kalami Kafenion,9405,27.7,2014-01-17 13:39
Gelatogalore,1310,37.3,2014-01-17 13:40
Abila Zacharo,2142,14.51,2014-01-17 13:41
Katerina's Cafe,3547,21.01,2014-01-17 13:42
Abila Zacharo,7354,79.67,2014-01-17 13:45
Gelatogalore,2681,18.1,2014-01-17 13:47
Katerina's Cafe,1321,13.11,2014-01-17 13:48
Chostus Hotel,9683,114.22,2014-01-17 13:49
Kalami Kafenion,1874,20.02,2014-01-17 13:51
Gelatogalore,7819,34.59,2014-01-17 13:51
Hippokampos,9617,108.35,2014-01-17 13:52
Kalami Kafenion,8411,24.21,2014-01-17 13:53
Katerina's Cafe,4434,35.52,2014-01-17 13:53
Chostus Hotel,2540,159.62,2014-01-17 13:54
Guy's Gyros,6901,32.31,2014-01-17 13:55
Gelatogalore,3492,21.62,2014-01-17 13:57
Hippokampos,1877,21.81,2014-01-17 13:58
Kalami Kafenion,7108,27.73,2014-01-17 13:58
Guy's Gyros,8202,15.12,2014-01-17 14:00
Guy's Gyros,7117,21.1,2014-01-17 14:05
Abila Zacharo,5368,51.95,2014-01-17 14:06
Katerina's Cafe,4948,70.72,2014-01-17 14:15
Ouzeri Elian,8129,26.1,2014-01-17 14:32
Katerina's Cafe,3492,22.18,2014-01-17 19:24
Guy's Gyros,6816,19.68,2014-01-17 19:29
Hippokampos,7117,19.76,2014-01-17 19:40
Ouzeri Elian,6899,38.6,2014-01-17 19:40
Albert's Fine Clothing,1321,1239.41,2014-01-17 19:44
Guy's Gyros,6901,16.83,2014-01-17 19:46
Guy's Gyros,4795,35.1,2014-01-17 19:53
Katerina's Cafe,8129,34.93,2014-01-17 19:57
Frydos Autosupply n' More,4948,124.52,2014-01-17 19:57
Hippokampos,2540,8.92,2014-01-17 20:03
Shoppers' Delight,7384,155.01,2014-01-17 20:05
Katerina's Cafe,1310,21.22,2014-01-17 20:07
Ouzeri Elian,9241,70.21,2014-01-17 20:07
Guy's Gyros,3484,37.55,2014-01-17 20:16
Katerina's Cafe,8202,36.12,2014-01-17 20:19
Katerina's Cafe,7253,19.09,2014-01-17 20:20
Guy's Gyros,7819,8.31,2014-01-17 20:21
Shoppers' Delight,1286,289.33,2014-01-17 20:21
Guy's Gyros,3853,8.54,2014-01-17 20:24
Katerina's Cafe,7889,72.13,2014-01-17 20:24
Ouzeri Elian,9551,35.81,2014-01-17 20:28
Ouzeri Elian,2681,26.4,2014-01-17 20:35
General Grocer,7108,98.03,2014-01-17 20:41
Frydos Autosupply n' More,7354,260.08,2014-01-17 20:41
Hippokampos,7688,11.93,2014-01-17 20:54
Katerina's Cafe,2142,38.21,2014-01-17 20:58
Guy's Gyros,9683,29.71,2014-01-17 20:59
Katerina's Cafe,5407,33.73,2014-01-17 21:05
Katerina's Cafe,9405,27.49,2014-01-17 21:06
Guy's Gyros,4434,55.4,2014-01-17 21:07
Frydos Autosupply n' More,5368,67.29,2014-01-17 21:15
Hippokampos,2463,38.19,2014-01-17 21:29
Hippokampos,9635,12.86,2014-01-17 21:58
Chostus Hotel,5010,600,2014-01-18 12:03
Abila Zacharo,8156,111.93,2014-01-18 13:04
Abila Zacharo,2540,25.59,2014-01-18 13:05
Katerina's Cafe,6691,34.54,2014-01-18 13:15
Ouzeri Elian,6895,33.57,2014-01-18 13:18
Kalami Kafenion,5368,30.12,2014-01-18 13:19
Hippokampos,1877,100.11,2014-01-18 13:21
Abila Zacharo,7253,18.45,2014-01-18 13:25
Guy's Gyros,7384,55.21,2014-01-18 13:27
Guy's Gyros,1874,27.4,2014-01-18 13:28
Kalami Kafenion,2463,38.91,2014-01-18 13:28
Abila Zacharo,9551,16.59,2014-01-18 13:32
Katerina's Cafe,3484,19.3,2014-01-18 13:34
Ouzeri Elian,3547,25.75,2014-01-18 13:34
Kalami Kafenion,1321,24.14,2014-01-18 13:58
Gelatogalore,2681,84.38,2014-01-18 13:58
Katerina's Cafe,8411,37.26,2014-01-18 14:00
Kalami Kafenion,8202,42.73,2014-01-18 14:02
Katerina's Cafe,7688,96.36,2014-01-18 14:03
Guy's Gyros,9617,47.89,2014-01-18 14:05
Katerina's Cafe,7819,24.14,2014-01-18 14:06
Kalami Kafenion,6901,53.36,2014-01-18 14:17
Ahaggo Museum,1286,55.55,2014-01-18 14:51
Ahaggo Museum,7384,120.2,2014-01-18 14:55
Albert's Fine Clothing,6895,35.66,2014-01-18 15:20
Frydos Autosupply n' More,5368,103.41,2014-01-18 15:31
General Grocer,3547,477.6,2014-01-18 15:31
Frydos Autosupply n' More,1874,361.54,2014-01-18 15:32
Shoppers' Delight,8156,258.33,2014-01-18 15:40
Roberts and Sons,7253,62.47,2014-01-18 15:41
Frydos Autosupply n' More,1877,103.55,2014-01-18 15:51
Frydos Autosupply n' More,2463,120.67,2014-01-18 15:53
Albert's Fine Clothing,6691,189.52,2014-01-18 15:57
Frank's Fuel,9635,52.66,2014-01-18 18:39
Frydos Autosupply n' More,5407,234.53,2014-01-18 18:51
Albert's Fine Clothing,8156,226.49,2014-01-18 18:59
Guy's Gyros,3484,39.68,2014-01-18 19:08
Katerina's Cafe,8129,21.63,2014-01-18 19:17
Roberts and Sons,9617,266.69,2014-01-18 19:20
Ouzeri Elian,6899,57.63,2014-01-18 19:21
Hippokampos,1321,21.34,2014-01-18 19:21
Guy's Gyros,5368,28.07,2014-01-18 19:21
Ouzeri Elian,9551,61.56,2014-01-18 19:26
Katerina's Cafe,7889,8.14,2014-01-18 19:30
Katerina's Cafe,1874,22.74,2014-01-18 19:31
Katerina's Cafe,4434,33.41,2014-01-18 19:32
Hippokampos,6895,27.21,2014-01-18 19:35
Katerina's Cafe,6691,35.79,2014-01-18 19:36
Abila Zacharo,4795,21.29,2014-01-18 19:36
Hippokampos,2463,53.21,2014-01-18 19:36
Kalami Kafenion,9635,71.14,2014-01-18 19:39
Guy's Gyros,6816,78.36,2014-01-18 19:39
Hippokampos,8332,63.21,2014-01-18 19:42
Roberts and Sons,7688,125.35,2014-01-18 19:46
Katerina's Cafe,8202,11.19,2014-01-18 19:46
Ouzeri Elian,2681,14.9,2014-01-18 19:46
Katerina's Cafe,4948,16.48,2014-01-18 19:47
Katerina's Cafe,3547,76.1,2014-01-18 19:53
Katerina's Cafe,1310,33.63,2014-01-18 19:54
Katerina's Cafe,2418,32.68,2014-01-18 19:56
Hippokampos,1286,49.21,2014-01-18 20:01
Katerina's Cafe,9405,17.37,2014-01-18 20:01
Katerina's Cafe,8411,45.88,2014-01-18 20:04
General Grocer,6901,108.49,2014-01-18 20:07
Katerina's Cafe,7354,19.31,2014-01-18 20:09
Hippokampos,1415,72.5,2014-01-18 20:11
Katerina's Cafe,3853,9.72,2014-01-18 20:13
Katerina's Cafe,7819,37.21,2014-01-18 20:15
Hippokampos,1877,29.21,2014-01-18 20:23
Hippokampos,7117,55.03,2014-01-18 20:26
Kronos Mart,3484,87.66,2014-01-19 03:13
Kronos Mart,9551,194.51,2014-01-19 03:45
Kronos Mart,8332,150.36,2014-01-19 03:48
Desafio Golf Course,8156,150.07,2014-01-19 12:41
Desafio Golf Course,7688,145.72,2014-01-19 12:57
Katerina's Cafe,7354,35.01,2014-01-19 13:00
Gelatogalore,6895,22.36,2014-01-19 13:09
Katerina's Cafe,4795,70.22,2014-01-19 13:23
Ahaggo Museum,9241,26.91,2014-01-19 13:26
Ouzeri Elian,3484,23.65,2014-01-19 13:27
Hippokampos,2142,64.37,2014-01-19 13:33
Desafio Golf Course,8332,190.91,2014-01-19 13:51
Katerina's Cafe,4434,26.76,2014-01-19 13:53
Katerina's Cafe,1310,12.78,2014-01-19 14:01
Ouzeri Elian,7384,45.32,2014-01-19 14:08
Katerina's Cafe,3492,54.2,2014-01-19 14:20
Abila Zacharo,6901,47.8,2014-01-19 14:20
General Grocer,6895,70.22,2014-01-19 15:03
Desafio Golf Course,2463,110.02,2014-01-19 15:15
Frydos Autosupply n' More,3484,56.09,2014-01-19 15:26
Albert's Fine Clothing,2142,274.66,2014-01-19 15:39
Desafio Golf Course,5010,148.22,2014-01-19 15:46
Frydos Autosupply n' More,4795,209.76,2014-01-19 15:53
Katerina's Cafe,3547,72.25,2014-01-19 18:54
Hippokampos,9635,101.25,2014-01-19 19:43
Hippokampos,8332,48.23,2014-01-19 19:43
Hippokampos,1321,88.27,2014-01-19 19:44
Hippokampos,6895,46.32,2014-01-19 19:44
Guy's Gyros,7384,65.21,2014-01-19 19:45
Guy's Gyros,1286,23.21,2014-01-19 19:45
Guy's Gyros,3484,58.35,2014-01-19 19:45
Frydos Autosupply n' More,9405,98.04,2014-01-19 19:45
Guy's Gyros,5010,25.79,2014-01-19 19:45
Ouzeri Elian,6899,67.98,2014-01-19 19:48
Ouzeri Elian,9551,32.77,2014-01-19 19:49
Guy's Gyros,6816,100.36,2014-01-19 19:49
Katerina's Cafe,7889,34.03,2014-01-19 19:53
Shoppers' Delight,2142,30.39,2014-01-19 19:56
Hippokampos,2463,63.17,2014-01-19 19:56
Guy's Gyros,7354,18.08,2014-01-19 20:00
Albert's Fine Clothing,2540,254.29,2014-01-19 20:02
Katerina's Cafe,1874,33.79,2014-01-19 20:05
Guy's Gyros,7108,36.87,2014-01-19 20:14
Hippokampos,1415,78.96,2014-01-19 20:16
Guy's Gyros,9683,37.48,2014-01-19 20:16
Katerina's Cafe,9617,38.9,2014-01-19 20:22
Guy's Gyros,3853,20.94,2014-01-19 20:25
Guy's Gyros,4434,31.94,2014-01-19 20:30
Guy's Gyros,6901,39.6,2014-01-19 20:51
